1982, Hisham Alghaish, +201065493591, Egypt, 1000000
1983, Ahmed Alghaish, +201065648452, America, 3000000
1984, Magdy Alghaish, +201065465841, Germany, 5000000
1985, Hamza Alghaish, +201215493591, France, 8000000
1986, Mousa Alghaish, +201065986291, Argentina, 9000000
1987, Dalida Alghaish, +203214493591, Polen, 1200000
1988, Fairouz Alghaish, +201065496581, Russia, 12300000
1989, Shosha Albadry, +2010145493591, China, 123000000
1990, Sami Ahmed, +201066987491, Japan, 6000000
1991, Sedra Ahmed, +201065658461, Dubai, 9000000
